,wl,The new S language,Combinatorial ALgorithms,Compilers (dragon),Compilers (blue book),Computer Organization (red book),Topology (green book),Data and Computer Communications (yellow book)
213,593,0.0728263725586,0.0189728897705,0.390316462402,0.288038444824,0.287681704102,0.104623125244,0.730229364014
214,594,0.071803734375,0.0189823945312,0.410797109375,0.286852421875,0.311119375,0.102833132812,0.736258164062
215,595,0.0707681254883,0.0189974251709,0.431069191895,0.28567467041,0.334687592773,0.101112485107,0.741920640869
216,596,0.069738,0.019017,0.45092,0.28453,0.35812,0.099486,0.74718
217,597,0.0687140202637,0.0190406916504,0.470285072021,0.283420172119,0.381325009766,0.0979484432373,0.752049880371
218,598,0.0676975234375,0.01906815625,0.489112304687,0.282347070313,0.40422484375,0.0964942460937,0.756547109375
219,599,0.066697326416,0.0191028513184,0.507339200439,0.28130789917,0.426719814453,0.0951222437744,0.760687180176
220,600,0.065722,0.019148,0.52492,0.2803,0.44873,0.09383,0.76449
221,601,0.064778027832,0.0192031027832,0.541788773193,0.27932796875,0.470151567383,0.0926172619629,0.767968876953
222,602,0.06387175,0.019267203125,0.557889570312,0.278396953125,0.4908915625,0.09148315625,0.77113984375
223,603,0.062993800293,0.0193352507324,0.573410860596,0.277522509766,0.51120050293,0.0904031091309,0.774071337891
224,604,0.062136,0.019402,0.58853,0.27672,0.53131,0.089354,0.77683
225,605,0.0613021535645,0.0194665233154,0.603235806885,0.275992834473,0.551182011719,0.0883328601074,0.779434951172
226,606,0.0604975234375,0.0195280664062,0.617498476563,0.27534328125,0.57074921875,0.087339125,0.78190046875
227,607,0.0597660368652,0.0195857584229,0.630848065186,0.274772419434,0.589304296875,0.0864091555176,0.784196279297
228,608,0.05915,0.019639,0.64283,0.27428,0.60616,0.085579,0.78629
229,609,0.0586522714844,0.0196869865723,0.653432373047,0.273866833496,0.621272912598,0.0848473951416,0.788192303467
230,610,0.0582714375,0.0197291328125,0.662687734375,0.27353265625,0.634662734375,0.0842100898438,0.789914960938
231,611,0.0579770644531,0.0197659284668,0.671006171875,0.27327232666,0.646862741699,0.0836407176514,0.791497769775
232,612,0.057736,0.019798,0.67882,0.27308,0.65844,0.083111,0.79298
233,613,0.0575465803223,0.0198253435059,0.686169656982,0.272952854004,0.669428905029,0.0826180078125,0.794373693848
234,614,0.0574073515625,0.0198480390625,0.693085351563,0.27288765625,0.679853242188,0.082159203125,0.7956890625
235,615,0.057306526123,0.0198656848145,0.699528824463,0.272881228027,0.689646656494,0.0817259472656,0.796881813965
236,616,0.057234,0.019878,0.70545,0.27293,0.69873,0.081311,0.79791
237,617,0.0571851859131,0.019885307251,0.710902653809,0.273030241699,0.707165439453,0.0809095864258,0.798780559082
238,618,0.0571572304687,0.0198880664062,0.715937421875,0.27317796875,0.715013515625,0.08051821875,0.79950515625
